longitude,latitude,fakulte,ndbi_nearest,ndbi_bilinear
27.20530555414607,38.36735461019834,Guzel Sanatlar,0.009149441,0.0
27.205420025477913,38.36735440969663,Guzel Sanatlar,-0.029634735,-0.01719149
27.205534496808625,38.36735420908317,Guzel Sanatlar,-0.006000706,-0.008492569
27.203817679484455,38.367447329325856,Guzel Sanatlar,0.1090448,0.08522826
27.20393215097299,38.3674471302764,Guzel Sanatlar,0.055171303,0.046428572
27.204046622460396,38.36744693111518,Guzel Sanatlar,0.058319606,0.057387862
27.204161093946674,38.3674467318422,Guzel Sanatlar,0.044552844,0.042060647
27.204275565431818,38.367446532457464,Guzel Sanatlar,-0.034245506,-0.017381942
27.204390036915832,38.36744633296095,Guzel Sanatlar,-0.10284718,-0.083333336
27.204504508398713,38.36744613335269,Guzel Sanatlar,0.012711864,0.03535032
27.20461897988046,38.36744593363267,Guzel Sanatlar,0.2246748,0.22665618
27.204733451361072,38.36744573380089,Guzel Sanatlar,0.19960956,0.264574
27.204847922840553,38.36744553385734,Guzel Sanatlar,0.14618792,0.17726354
27.2049623943189,38.36744533380204,Guzel Sanatlar,0.052392833,0.09311917
27.205076865796112,38.36744513363497,Guzel Sanatlar,0.015317286,0.06619631
27.205191337272186,38.36744493335615,Guzel Sanatlar,0.04319059,0.03144186
27.205305808747127,38.36744473296556,Guzel Sanatlar,0.007454739,0.017913593
27.205420280220928,38.3674445324632,Guzel Sanatlar,0.06385224,0.050998572
27.205534751693587,38.36744433184909,Guzel Sanatlar,0.051460363,0.036893204
27.20564922316511,38.36744413112323,Guzel Sanatlar,0.06425993,0.05054945
27.205763694635493,38.367443930285596,Guzel Sanatlar,0.029689137,0.0053705694
27.20587816610474,38.3674437293362,Guzel Sanatlar,0.08041237,0.058530033
27.203932403871722,38.36753725304993,Guzel Sanatlar,-0.014423077,-0.0179406
27.204046875501085,38.367537053888064,Guzel Sanatlar,0.014529374,0.008422056
27.204161347129315,38.36753685461445,Guzel Sanatlar,0.096432835,0.07122807
27.204275818756415,38.36753665522907,Guzel Sanatlar,0.24165662,0.21137361
27.20439029038238,38.36753645573192,Guzel Sanatlar,0.1270073,0.08440191
27.204504762007222,38.367536256123024,Guzel Sanatlar,0.17002448,0.12988551
27.204619233630925,38.36753605640236,Guzel Sanatlar,0.33778256,0.28348476
27.204733705253496,38.36753585656993,Guzel Sanatlar,0.26115957,0.27180785
27.20484817687493,38.36753565662574,Guzel Sanatlar,0.44503233,0.42701063
27.20496264849523,38.36753545656979,Guzel Sanatlar,0.38797486,0.3773585
27.205077120114392,38.367535256402086,Guzel Sanatlar,0.15797354,0.16298684
27.205191591732426,38.36753505612261,Guzel Sanatlar,0.10449504,0.06004902
27.205306063349315,38.36753485573138,Guzel Sanatlar,0.01756902,0.008683068
27.205420534965075,38.36753465522839,Guzel Sanatlar,0.031553812,0.014578272
27.20553500657969,38.36753445461363,Guzel Sanatlar,0.052558303,0.045414694
27.205649478193166,38.36753425388712,Guzel Sanatlar,0.06425993,0.06628242
27.205763949805508,38.36753405304885,Guzel Sanatlar,0.024500435,0.02585459
27.20587842141671,38.36753385209881,Guzel Sanatlar,-0.02387807,-0.009348915
27.205992893026767,38.36753365103701,Guzel Sanatlar,-0.0031131096,0.0041208793
27.206107364635685,38.36753344986345,Guzel Sanatlar,0.022031585,0.05961755
27.203932656771585,38.36762737582207,Guzel Sanatlar,0.03995045,0.023006618
27.204047128542904,38.36762717665957,Guzel Sanatlar,-0.062165234,-0.033154406
27.20416160031309,38.36762697738531,Guzel Sanatlar,0.14733917,0.1314725
27.204276072082145,38.367626777999284,Guzel Sanatlar,0.39507458,0.47548872
27.20439054385007,38.36762657850151,Guzel Sanatlar,0.28048393,0.3437863
