degisken,karsilastirma,z,p_ham,p_bh
ndvi,Mimarlik - Turizm,-1.36207059193138,0.1731756081241116,0.193956681099005
ndvi,Muhendislik - Turizm,-4.189025805402215,2.8015454422083027e-5,3.565603290083294e-5
ndbi,Denizcilik - Fen Edebiyat,-10.566528221106255,4.259731887550722e-26,1.1927249285142023e-24
ndbi,Denizcilik - Guzel Sanatlar,-8.382077615765834,5.2001523807670315e-17,4.853475555382563e-16
ndbi,Fen Edebiyat - Guzel Sanatlar,2.8285322699733557,0.0046761986418194425,0.005951525544133836
ndbi,Denizcilik - Hukuk,-6.198192979404971,5.71150863944942e-10,1.7769137989398193e-9
ndbi,Fen Edebiyat - Hukuk,7.196794738142661,6.164445337641926e-13,2.4657781350567704e-12
ndbi,Guzel Sanatlar - Hukuk,3.77444079666933,1.60366985962454e-4,2.494597559415951e-4
ndbi,Denizcilik - Isletme,-4.550481721383314,5.35232368404927e-6,8.815591950198797e-6
ndbi,Fen Edebiyat - Isletme,7.760086359847342,8.487157316151966e-15,4.7528080970451005e-14
ndbi,Guzel Sanatlar - Isletme,4.868622993116895,1.1237857027024444e-6,2.0977333117112295e-6
ndbi,Hukuk - Isletme,1.765807726111935,0.07742811187462224,0.09033279718705929
ndbi,Denizcilik - Mimarlik,-5.014443111590328,5.31872857484638e-7,1.2410366674641554e-6
ndbi,Fen Edebiyat - Mimarlik,8.020226984357695,1.0554993686803495e-15,7.388495580762447e-15
ndbi,Guzel Sanatlar - Mimarlik,4.847897616697306,1.2477676495291756e-6,2.1835933866760573e-6
ndbi,Hukuk - Mimarlik,1.4886923183305063,0.13656840873925336,0.15295661778796377
ndbi,Isletme - Mimarlik,-0.377734442730109,0.7056278785743285,0.7317622444474517
ndbi,Denizcilik - Muhendislik,-7.149699672421632,8.696796102128086e-13,3.0438786357448304e-12
ndbi,Fen Edebiyat - Muhendislik,7.341554536458914,2.1112709083555605e-13,9.852597572325949e-13
ndbi,Guzel Sanatlar - Muhendislik,3.3369821358140843,8.469339167413687e-4,0.0012481131404609644
ndbi,Hukuk - Muhendislik,-1.1121636467107863,0.26606779521883994,0.28653454869721223
ndbi,Isletme - Muhendislik,-2.840522556237582,0.004503968764454127,0.006005291685938836
ndbi,Mimarlik - Muhendislik,-2.677733014346483,0.007412227539924724,0.009023581352951839
ndbi,Denizcilik - Turizm,-9.25353188268666,2.1719457260292786e-20,3.04072401644099e-19
ndbi,Fen Edebiyat - Turizm,3.180900241426991,0.0014681817694298575,0.0020554544772018006
ndbi,Guzel Sanatlar - Turizm,-0.2693893724684325,0.7876300635250199,0.7876300635250199
ndbi,Hukuk - Turizm,-5.007904402173696,5.502585127810878e-7,1.1851721813746506e-6
ndbi,Isletme - Turizm,-5.906717505586237,3.489914336325102e-9,8.883418310645714e-9
ndbi,Mimarlik - Turizm,-6.0800865027389746,1.2011772838728777e-9,3.3632963948440574e-9
ndbi,Muhendislik - Turizm,-4.929657609546742,8.237385696886309e-7,1.6474771393772618e-6
glcm_contrast,Denizcilik - Fen Edebiyat,9.198651056378093,3.624713286641563e-20,7.249426573283126e-20
glcm_contrast,Denizcilik - Guzel Sanatlar,14.191078318448081,1.0404642883188659e-45,4.1618571532754635e-45
glcm_contrast,Fen Edebiyat - Guzel Sanatlar,7.951996131317793,1.835299868246101e-15,3.0228468418171075e-15
glcm_contrast,Denizcilik - Hukuk,10.278755030163175,8.785507902514526e-25,1.89226324054159e-24
glcm_contrast,Fen Edebiyat - Hukuk,1.5587149541988927,0.11906386076552682,0.12347363338647224
glcm_contrast,Guzel Sanatlar - Hukuk,-6.709682616833391,1.950481813361926e-11,2.8743942512702066e-11
glcm_contrast,Denizcilik - Isletme,0.6350589200347726,0.5253899880641437,0.5253899880641437
glcm_contrast,Fen Edebiyat - Isletme,-11.577050914040825,5.386743407113334e-31,1.5082881539917336e-30
glcm_contrast,Guzel Sanatlar - Isletme,-17.95065068751406,4.743139366546884e-72,4.426930075443758e-71
glcm_contrast,Hukuk - Isletme,-13.165082218173948,1.3938581964130815e-39,4.3364477221740314e-39
glcm_contrast,Denizcilik - Mimarlik,3.1091957074743157,0.001875974112151442,0.0021886364641766826
glcm_contrast,Fen Edebiyat - Mimarlik,-8.889423108338166,6.142699617414891e-19,1.1466372619174463e-18
glcm_contrast,Guzel Sanatlar - Mimarlik,-15.875761547677094,9.327192441001451e-57,4.352689805800678e-56
glcm_contrast,Hukuk - Mimarlik,-10.581231717331308,3.641393716591158e-26,8.496585338712702e-26
glcm_contrast,Isletme - Mimarlik,3.2583657083222497,0.0011205589800327637,0.0013641587583007558
glcm_contrast,Denizcilik - Muhendislik,4.841445216804249,1.2889821338447171e-6,1.6405227158023671e-6
glcm_contrast,Fen Edebiyat - Muhendislik,-8.840827128498226,9.50125700716849e-19,1.6627199762544858e-18
glcm_contrast,Guzel Sanatlar - Muhendislik,-17.292352674779,5.37145227037809e-67,3.760016589264663e-66
glcm_contrast,Hukuk - Muhendislik,-11.128893005482071,9.07555541576842e-29,2.310141378559234e-28
glcm_contrast,Isletme - Muhendislik,5.964491333410639,2.4539729293708543e-9,3.4355621011191956e-9
glcm_contrast,Mimarlik - Muhendislik,2.323162329700967,0.02017043360860855,0.022590885641641578
glcm_contrast,Denizcilik - Turizm,14.02996758968844,1.0219827005616607e-44,3.5769394519658125e-44
glcm_contrast,Fen Edebiyat - Turizm,7.467993822645043,8.142666540209747e-14,1.2666370173659608e-13
glcm_contrast,Guzel Sanatlar - Turizm,-2.10319775945587,0.03544848607132001,0.038175292692190776
glcm_contrast,Hukuk - Turizm,5.96167453729713,2.4966604649721106e-9,3.328880619962814e-9
glcm_contrast,Isletme - Turizm,18.959343676136193,3.697289574988656e-80,5.1762054049841186e-79
glcm_contrast,Mimarlik - Turizm,16.890436937125443,5.290972096640898e-64,2.9629443741189025e-63
glcm_contrast,Muhendislik - Turizm,20.57738905987872,4.3762683487134147e-94,1.2253551376397561e-92
glcm_homogeneity,Denizcilik - Fen Edebiyat,-7.414267453659025,1.2229889492949156e-13,2.014334740015155e-13
glcm_homogeneity,Denizcilik - Guzel Sanatlar,-14.23373138428016,5.658039112994573e-46,1.440228137853164e-45
glcm_homogeneity,Fen Edebiyat - Guzel Sanatlar,-10.632360195534599,2.1071133224350813e-26,4.2142266448701626e-26
glcm_homogeneity,Denizcilik - Hukuk,-12.960518913648263,2.0485700990098218e-38,4.4123048286365393e-38
glcm_homogeneity,Fen Edebiyat - Hukuk,-8.7480990052591725,2.169768631624094e-18,4.050234779031642e-18
glcm_homogeneity,Guzel Sanatlar - Hukuk,2.7901562530540827,0.005268260970097219,0.005900452286508886
